"Date","Price","Open","High","Low","Change %"
"12/24/2022","0.310","0.310","0.310","0.310","-63.53%"
"12/23/2022","0.850","0.310","0.900","0.310","13.33%"
"12/22/2022","0.750","0.350","0.900","0.350","-10.71%"
"12/21/2022","0.840","0.880","0.900","0.560","0.00%"
"12/20/2022","0.840","0.350","0.900","0.350","0.00%"
"12/19/2022","0.840","0.350","0.880","0.350","95.35%"
"12/18/2022","0.430","0.430","0.430","0.430","22.86%"
"12/17/2022","0.350","0.430","0.430","0.350","-23.91%"
"12/16/2022","0.460","0.350","0.710","0.340","-45.88%"
"12/15/2022","0.850","0.350","0.900","0.350","34.92%"
"12/14/2022","0.630","0.350","0.660","0.350","3.28%"
"12/13/2022","0.610","0.470","0.660","0.360","0.00%"
"12/12/2022","0.610","0.350","0.650","0.350","74.29%"
"12/11/2022","0.350","0.380","0.380","0.350","-37.50%"
"12/10/2022","0.560","0.380","0.560","0.380","-3.45%"
"12/09/2022","0.580","0.370","0.600","0.370","1.75%"
"12/08/2022","0.570","0.300","0.600","0.270","11.76%"
"12/07/2022","0.510","0.300","0.570","0.300","-1.92%"
"12/06/2022","0.520","0.300","0.570","0.300","1.96%"
"12/05/2022","0.510","0.450","0.570","0.300","0.00%"
"12/04/2022","0.510","0.300","0.510","0.300","-1.92%"
"12/03/2022","0.520","0.520","0.520","0.520","0.00%"
"12/02/2022","0.520","0.460","0.550","0.250","0.00%"
"12/01/2022","0.520","0.550","0.550","0.300","0.00%"
"11/30/2022","0.520","0.290","0.560","0.240","-1.89%"
"11/29/2022","0.530","0.300","0.560","0.280","6.00%"
"11/28/2022","0.500","0.300","0.550","0.300","0.00%"
"11/27/2022","0.500","0.300","0.500","0.300","0.00%"
"11/26/2022","0.500","0.450","0.500","0.450","0.00%"
"11/25/2022","0.500","0.300","0.540","0.300","2.04%"
"11/24/2022","0.490","0.430","0.530","0.210","8.89%"
"11/23/2022","0.450","0.430","0.500","0.260","-2.17%"
"11/22/2022","0.460","0.300","0.500","0.270","9.52%"
"11/21/2022","0.420","0.300","0.460","0.230","7.69%"
"11/20/2022","0.390","0.390","0.390","0.390","0.00%"
"11/19/2022","0.390","0.390","0.390","0.390","0.00%"
"11/18/2022","0.390","0.310","0.450","0.230","0.00%"
"11/17/2022","0.390","0.300","0.470","0.190","2.63%"
"11/16/2022","0.380","0.300","0.470","0.280","0.00%"
"11/15/2022","0.380","0.300","0.470","0.220","2.70%"
"11/14/2022","0.370","0.410","0.490","0.250","-9.76%"
"11/13/2022","0.410","0.410","0.410","0.410","36.67%"
"11/12/2022","0.300","0.300","0.300","0.300","0.00%"
"11/11/2022","0.300","0.300","0.490","0.250","-25.00%"
"11/10/2022","0.400","0.300","0.480","0.140","33.33%"
"11/09/2022","0.300","0.300","0.400","0.060","0.00%"
"11/08/2022","0.300","0.300","0.400","0.020","87.50%"
"11/07/2022","0.160","0.300","0.400","0.110","-46.67%"
"11/06/2022","0.300","0.400","0.400","0.230","0.00%"
"11/05/2022","0.300","0.230","0.400","0.230","66.67%"
"11/04/2022","0.180","0.300","0.410","0.160","-48.57%"
"11/03/2022","0.350","0.300","0.440","0.260","9.38%"
"11/02/2022","0.320","0.300","0.430","0.190","18.52%"
"11/01/2022","0.270","0.400","0.410","0.190","-10.00%"
"10/31/2022","0.300","0.300","0.420","0.200","0.00%"
"10/30/2022","0.300","0.280","0.420","0.280","0.00%"
"10/28/2022","0.300","0.350","0.420","0.130","20.00%"
"10/27/2022","0.250","0.350","0.420","0.140","-16.67%"
"10/26/2022","0.300","0.350","0.370","0.110","-14.29%"
"10/25/2022","0.350","0.350","0.420","0.120","0.00%"
"10/24/2022","0.350","0.320","0.420","0.180","-7.89%"
"10/23/2022","0.380","0.420","0.420","0.380","0.00%"
"10/22/2022","0.380","0.380","0.380","0.380","-5.00%"
"10/21/2022","0.400","0.350","0.430","0.230","14.29%"
"10/20/2022","0.350","0.350","0.480","0.270","-18.60%"
"10/19/2022","0.430","0.350","0.430","0.240","0.00%"
"10/18/2022","0.430","0.350","0.430","0.220","7.50%"
"10/17/2022","0.400","0.350","0.430","0.200","14.29%"
"10/16/2022","0.350","0.430","0.430","0.210","0.00%"
"10/15/2022","0.350","0.210","0.430","0.210","34.62%"
"10/14/2022","0.260","0.350","0.430","0.090","-39.53%"
"10/13/2022","0.430","0.350","0.430","0.220","72.00%"
"10/12/2022","0.250","0.350","0.430","0.200","-28.57%"
"10/11/2022","0.350","0.400","0.430","0.030","9.38%"
"10/10/2022","0.320","0.350","0.480","0.100","-8.57%"
"10/09/2022","0.350","0.400","0.400","0.350","0.00%"
"10/08/2022","0.350","0.360","0.400","0.350","0.00%"
"10/07/2022","0.350","0.350","0.480","0.290","-12.50%"
"10/06/2022","0.400","0.350","0.400","0.160","0.00%"
"10/05/2022","0.400","0.350","0.400","0.190","14.29%"
"10/04/2022","0.350","0.240","0.410","0.240","0.00%"
"10/03/2022","0.350","0.200","0.410","0.150","0.00%"
"10/02/2022","0.350","0.400","0.400","0.300","0.00%"
"10/01/2022","0.350","0.400","0.400","0.300","0.00%"
"09/30/2022","0.350","0.250","0.500","0.160","0.00%"
"09/29/2022","0.350","0.250","0.500","0.230","29.63%"
"09/28/2022","0.270","0.350","0.470","0.230","-22.86%"
"09/27/2022","0.350","0.410","0.470","0.250","25.00%"
"09/26/2022","0.280","0.410","0.580","0.270","-45.10%"
