"Date","Price","Open","High","Low","Change %"
"05/31/2022","0.426","0.368","0.428","0.344","24.20%"
"05/30/2022","0.343","0.327","0.351","0.312","18.28%"
"05/27/2022","0.290","0.286","0.292","0.252","15.08%"
"05/25/2022","0.252","0.266","0.268","0.234","5.88%"
"05/24/2022","0.238","0.254","0.289","0.236","-11.85%"
"05/23/2022","0.270","0.290","0.290","0.221","-2.53%"
"05/20/2022","0.277","0.304","0.308","0.248","2.21%"
"05/19/2022","0.271","0.335","0.335","0.222","-15.05%"
"05/18/2022","0.319","0.372","0.372","0.283","-0.93%"
"05/17/2022","0.322","0.332","0.332","0.245","45.70%"
"05/16/2022","0.221","0.241","0.270","0.196","-13.33%"
"05/13/2022","0.255","0.206","0.255","0.157","44.07%"
"05/12/2022","0.177","0.305","0.307","0.168","-48.99%"
"05/11/2022","0.347","0.433","0.442","0.342","-15.57%"
"05/10/2022","0.411","0.496","0.513","0.409","-15.61%"
"05/09/2022","0.487","0.527","0.558","0.487","-15.74%"
"05/06/2022","0.578","0.463","0.578","0.446","24.57%"
"05/05/2022","0.464","0.428","0.466","0.373","0.65%"
"05/04/2022","0.461","0.521","0.521","0.444","3.83%"
"05/03/2022","0.444","0.508","0.508","0.420","-5.73%"
"05/02/2022","0.471","0.489","0.489","0.453","-1.05%"
"04/29/2022","0.476","0.445","0.488","0.412","8.43%"
"04/28/2022","0.439","0.383","0.446","0.345","20.60%"
"04/27/2022","0.364","0.375","0.414","0.353","-4.21%"
"04/26/2022","0.380","0.477","0.477","0.371","-7.77%"
"04/25/2022","0.412","0.522","0.522","0.412","-21.82%"
"04/22/2022","0.527","0.520","0.530","0.485","11.18%"
"04/21/2022","0.474","0.476","0.496","0.436","10.75%"
"04/20/2022","0.428","0.498","0.507","0.395","-11.02%"
"04/19/2022","0.481","0.472","0.514","0.460","9.57%"
"04/14/2022","0.439","0.450","0.464","0.380","0.92%"
"04/13/2022","0.435","0.552","0.556","0.426","-8.23%"
"04/12/2022","0.474","0.485","0.541","0.458","1.28%"
"04/11/2022","0.468","0.447","0.477","0.406","2.63%"
"04/08/2022","0.456","0.359","0.456","0.341","22.91%"
"04/07/2022","0.371","0.332","0.393","0.302","9.12%"
"04/06/2022","0.340","0.320","0.368","0.294","8.63%"
"04/05/2022","0.313","0.233","0.313","0.230","39.73%"
"04/04/2022","0.224","0.286","0.293","0.189","-22.49%"
"04/01/2022","0.289","0.298","0.307","0.261","16.53%"
"03/31/2022","0.248","0.367","0.367","0.243","-32.43%"
"03/30/2022","0.367","0.311","0.397","0.302","19.54%"
"03/29/2022","0.307","0.277","0.390","0.277","25.31%"
"03/28/2022","0.245","0.254","0.277","0.221","25.00%"
"03/25/2022","0.196","0.162","0.201","0.124","30.67%"
"03/24/2022","0.150","0.115","0.174","0.096","27.12%"
"03/23/2022","0.118","0.121","0.123","0.095","-13.87%"
"03/22/2022","0.137","0.111","0.147","0.100","90.28%"
"03/21/2022","0.072","0.062","0.076","0.036","111.76%"
"03/18/2022","0.034","0.065","0.065","0.012","-46.03%"
"03/17/2022","0.063","0.091","0.091","0.046","-13.70%"
"03/16/2022","0.073","0.082","0.095","0.052","121.21%"
"03/15/2022","0.033","0.057","0.073","0.033","-64.13%"
"03/14/2022","0.092","0.069","0.095","0.043","91.67%"
